"catalogNumber","organismID","acceptedNameUsage","scientificNameAuthorship","acceptedNameUsageID","taxonRank","decimalLatitude","decimalLongitude","sex","eventDate","salinity","dryWeight","respirationRate","waterTemperature","standardMetabolicRate"
"137","C2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,3.342,0.000965952,25,0.32595084288
"138","C3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,1.644,0.000668736,25,0.22565827584
"139","C4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,1.074,0.00037152,25,0.1253657088
"140","C5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-13",4,2.25,0.000362232,25,0.12223156608
"141","C6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-13",4,2.58,0.000157896,25,0.05328042624
"142","A1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-14",6,3.733,0.003021696,25,1.01964109824
"143","A2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,3.834,0.001399392,25,0.47221083648
"144","A3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-14",6,4.468,0.001746144,25,0.58921883136
"145","A4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,3.175,0.001504656,25,0.50773112064
"146","A5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,6.5,0.002922624,25,0.98621024256
"147","A6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-14",6,3.101,0.000916416,25,0.30923541504
"148","B1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,2.517,0.000736848,25,0.24864198912
"149","B2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,3.48,0.003024792,25,1.02068581248
"150","B3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,3.108,0.004198176,25,1.41663250944
"151","B4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-14",6,3.429,0.003801888,25,1.28290908672
"152","B5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,6.666,0.001947384,25,0.65712525696
"153","B6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-14",6,4.33,0.002362248,25,0.79711696512
"154","C2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,3.342,0.000631584,25,0.21312170496
"155","C3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,1.644,0.001161,25,0.39176784
"156","C4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,1.074,0.001356048,25,0.45758483712
"157","C5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-12-14",6,2.25,0.001665648,25,0.56205626112
"158","C6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-12-14",6,2.58,0.004312728,25,1.45528693632
