catologNumber;country;locationID;decimalLatitude;decimalLongitude;eventDate;depth;samplingProtocol;samplingEffort;sampleSizeValue;sampleSizeUnit;taxonID;scientificName;acceptedNameUsage;acceptedNameUsageID;individualCount;density;biomass;biomassPerUnitArea
342;Italy;34;43.36010833;13.89299167;2013-12-07;26.20;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_345;30 min haul duration;0.03717804;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
343;Italy;37;43.10493333;13.92935836;2013-12-17;26.20;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_346;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
344;Italy;43;45.38242499;12.39779167;2013-12-12;26.20;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_347;29 min haul duration;0.035347138;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
345;Italy;44;45.46515001;12.71165832;2013-12-12;26.20;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_348;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
346;Italy;46;44.90745834;12.60648333;2013-12-11;26.30;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_349;24 min haul duration;0.029251318;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
347.00;Italy;48;44.05311667;12.62045002;2013-12-09;16.35;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_350;19 min haul duration;0.029251318;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;46;1572.58;0.29;9.91
348;Italy;49;43.57510834;13.77060833;2013-11-30;26.30;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_351;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
349;Italy;50;43.05604167;14.01884167;2013-12-17;26.30;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_352;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
350;Italy;55;45.38431667;12.46948333;2013-12-12;26.30;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_353;18 min haul duration;0.021942079;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
351.00;NA;56;45.33583334;12.87932501;2013-12-13;16.40;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_354;20 min haul duration;0.0243761;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;46;1887.09;0.09;3.81
352;Italy;57;45.079075;12.72960835;2013-12-11;26.35;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_355;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
353.00;Italy;63;44.20530833;12.60119168;2013-12-10;11.25;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_356;20 min haul duration;0.0243761;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;37838;1552258.13;83.23;3414.25
354.00;Italy;64;44.1438;12.51960835;2013-12-09;16.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_357;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;54;1476.71;0.2;5.41
355.00;Italy;65;44.084125;12.76100833;2013-12-09;11.90;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_358;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;18339;501507.63;66.01;1805.14
356;Italy;66;43.598725;13.67254168;2013-11-30;26.35;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_359;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
357;Italy;68;42.90413332;13.97277501;2013-12-17;18.75;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_360;30 min haul duration;0.0359;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;18;501.39;0.09;2.56
358;Italy;70;42.58321667;14.23178333;2013-12-17;26.35;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_361;31 min haul duration;0.03709906;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
359;Italy;71;42.26609166;14.56397502;2013-12-15;26.35;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_362;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
360;Italy;73;42.09575833;14.88314164;2013-12-15;26.50;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_363;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
361;Italy;74;41.98310834;15.08085833;2013-12-15;26.50;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_364;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
362;Italy;76;41.99335;15.67380832;2013-12-15;26.65;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_365;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
363;NA;6;45.25754166;12.88704999;2013-12-11;26.65;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_366;19 min haul duration;0.02316268;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
364;NA;9;45.00995;12.93224999;2013-12-11;26.65;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_367;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
365;NA;10;45.11278334;13.24444167;2013-12-05;26.65;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_368;30 min haul duration;0.03723548;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
366;NA;13;44.608625;12.75142501;2013-12-10;26.65;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_369;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
367;NA;14;44.74179166;13.16481667;2013-12-14;26.65;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_370;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
368;NA;18;44.38959999;12.84289999;2013-12-10;26.70;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_371;31 min haul duration;0.037788339;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
369;NA;19;44.51354167;13.231625;2013-12-14;26.70;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_372;15 min haul duration;0.018280279;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
370;Italy;29;43.72331667;13.61664168;2013-11-30;26.75;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_373;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
371;NA;51;45.333975;13.07040833;2013-12-13;26.75;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_374;20 min haul duration;0.0243761;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
372;NA;53;44.56109165;13.55044998;2013-12-05;26.80;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_375;15 min haul duration;0.018280279;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
373;NA;54;44.219325;12.97484169;2013-12-09;26.80;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_376;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
374;NA;58;45.01525832;13.25118333;2013-12-05;26.90;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_377;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
375;NA;59;44.68479999;12.77344166;2013-12-11;26.90;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_378;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
376;NA;60;44.67595832;13.48282501;2013-12-05;26.95;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_379;15 min haul duration;0.018280279;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
377;NA;61;44.45595833;12.66120001;2013-12-10;20.25;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_380;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;3;82.04;0.01;0.41
378;NA;62;44.45064999;12.73129168;2013-12-10;26.95;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_381;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
379;Italy;67;43.34336667;13.98920832;2013-12-07;27.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_382;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
380;NA;22;44.39138335;13.65236667;2013-12-05;27.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_383;15 min haul duration;0.018280279;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
381;NA;23;44.33566666;14.0353;2013-12-04;27.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_384;15 min haul duration;0.01861774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
382;NA;26;44.04405;13.32970832;2013-12-08;27.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_385;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
383;NA;30;43.98903332;14.03979167;2013-12-04;27.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_386;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
384;Italy;32;43.65650002;13.78854167;2013-12-07;27.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_387;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
385;NA;35;43.45075835;14.206525;2013-12-07;27.20;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_388;30 min haul duration;0.03723548;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
386;Italy;36;43.69532499;13.71644999;2013-12-07;27.20;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_389;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
387;NA;38;43.37525001;14.15211666;2013-12-07;27.45;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_390;30 min haul duration;0.03723548;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
388;Italy;69;42.67027499;14.2532;2013-12-17;27.45;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_391;30 min haul duration;0.03723548;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
389;Italy;75;42.03939167;15.46379167;2013-12-15;27.50;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_392;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
390;Italy;1;45.419675;12.549025;2014-11-25;27.50;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_393;28 min haul duration;0.034126539;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
391;Italy;2;45.61958332;13.145675;2014-11-26;27.50;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_394;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
392;Italy;3;45.64192499;13.49036667;2014-11-26;27.50;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_395;10 min haul duration;0.012191639;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
393.00;Italy;4;45.110475;12.38172499;2014-11-25;16.55;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_396;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;41;1121.21;0.01;0.22
394;Italy;5;45.15508333;12.50754166;2014-11-25;27.55;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_397;32 min haul duration;0.039008938;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
395;NA;6;45.25691667;12.89006666;2014-11-19;27.55;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_398;22 min haul duration;0.026817299;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
396;Italy;8;44.83618333;12.48372501;2014-11-24;27.85;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_399;31 min haul duration;0.037788339;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
397.00;Italy;12;44.84140835;12.54387499;2014-11-24;14.55;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_400;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;722;19744.18;2.23;60.87
398.00;Italy;16;44.27574166;12.38711665;2014-11-23;12.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_401;15 min haul duration;0.01795;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;16548;921894.13;98.5;5487.47
399.00;Italy;17;44.34233333;12.55536668;2014-11-23;10.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_402;30 min haul duration;0.0359;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;307283;8559415;1118.72;31162.12
400.00;Italy;21;44.1505;12.75661669;2014-11-23;10.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_403;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;128262;3507517.75;605.32;16553.39
401.00;Italy;24;43.92109168;13.02267499;2014-11-17;14.15;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_404;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;1770;48403.32;3.78;103.26
402.00;Italy;25;43.96933333;13.07720833;2014-11-17;14.55;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_405;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;783;21412.32;3.96;108.29
403.00;Italy;27;43.79729999;13.186475;2014-11-22;12.75;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_406;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;13215;361384.09;2.74;75.03
404;Italy;28;43.78428335;13.39130834;2014-11-15;27.85;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_407;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
405;Italy;31;43.59299164;13.60969168;2014-11-10;18.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_408;23 min haul duration;0.0280379;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;25;891.65;0.16;5.66
406;Italy;33;43.36863333;13.72683331;2014-11-10;28.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_409;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
407;Italy;34;43.38455833;13.87963336;2014-11-10;20.40;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_410;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;2;54.69;0.01;0.21
408;Italy;37;43.13315;13.90441669;2014-11-13;20.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_411;30 min haul duration;0.03656774;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;4;109.39;0.01;0.2
